,district,ward,coordinates,kind,Legal,surface,floor,bedRoom,bathRoom,environment,utility,price
0,Quận Thủ Đức,Phường Linh Trung,"[10.86202, 106.78333]",Nhà phố,"[1, 0, 0]",90.0,,,,,,38888888.8889
1,Quận 6,Phường 13,"[10.75323, 106.62963]",Khác,"[1, 0, 0]",90.0,,,,,,33333333.3333
2,Quận 7,Phường Tân Kiểng,"[10.74912, 106.7102]",Nhà phố,"[1, 0, 0]",83.0,,,,,,69879518.0723
3,Huyện Bình Chánh,Xã Phạn Văn Hai,"[10.81917, 106.53676]",Nhà phố,"[1, 0, 0]",72.0,1.0,2.0,2.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Công viên ,","Internet cáp quang ,",6250000.0
4,Quận 12,Phường Thạnh Xuân,"[10.87846, 106.67151]",Nhà phố,"[1, 0, 0]",74.0,,,,,,11891891.8919
5,Quận 12,Phường Thạnh Xuân,"[10.87846, 106.67151]",Nhà phố,"[1, 0, 0]",50.0,,,,,,13200000.0
6,Quận Thủ Đức,Phường Bình Thọ,"[10.84504, 106.76858]",Khác,"[1, 0, 0]",127.0,,,,,,551181.102362
7,Quận Gò Vấp,Phường 14,"[10.7943, 106.63978]",Nhà phố,"[1, 0, 0]",300.0,4.0,4.0,5.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Gần nhà thờ,Công viên,Khu an ninh ,","Điều hòa,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi,Sân vườn,Phòng tập gym ,",21666666.6667
8,Quận Thủ Đức,Phường Hiệp Bình Chánh,"[10.82745, 106.72564]",Nhà phố,"[1, 0, 0]",55.0,,,,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,",,43636363.6364
9,Quận 10,Phường 09,"[10.76719, 106.67055]",Nhà phố,"[1, 0, 0]",50.0,,,,,,74000000.0
10,Quận Tân Phú,Phường Tân Quý,"[10.79366, 106.61946]",Nhà phố,"[1, 0, 0]",24.0,,,,,,345833333.333
11,Huyện Hóc Môn,Xã Xuân Thới Sơn,"[10.87796, 106.55887]",Nhà phố,"[1, 0, 0]",260.0,,,,,,3076923.07692
12,Quận Thủ Đức,Phường Hiệp Bình Chánh,"[10.82745, 106.72564]",Nhà phố,"[1, 0, 0]",60.0,,,,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,","Ban công / Sân thượng ,",41666666.6667
13,Quận 10,Phường 06,"[10.76257, 106.66355]",Nhà phố,"[1, 0, 0]",160.0,1.0,2.0,2.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Gần nhà thờ,Công viên,Khu an ninh ,","Internet cáp quang,Wifi ,",87500000.0
14,Quận 10,Phường 15,"[10.76981, 106.65732]",Nhà phố,"[1, 0, 0]",40.0,,,,,,225000000.0
15,Quận 3,Phường 01,"[10.79191, 106.67146]",Nhà phố,"[1, 0, 0]",90.0,,,,,,211111111.111
16,Quận 3,Phường 08,"[10.78774, 106.68727]",Nhà phố,"[1, 0, 0]",107.0,,,,,,177570093.458
17,Quận 3,Phường 06,"[10.78024, 106.6907]",Biệt thự/ Villa,"[1, 0, 0]",414.0,,,,,,100000000.0
18,Quận Phú Nhuận,Phường 08,"[10.79897, 106.67439]",Nhà phố,"[1, 0, 0]",128.0,,3.0,2.0,"Trường học,Siêu thị,Bệnh viện,Gần chùa,Gần biển,Công viên ,","Máy giặt,Internet cáp quang,Wifi,Phòng tập gym ,",57031250.0
19,Huyện Bình Chánh,Xã Hưng Long,"[10.66544, 106.60985]",Nhà phố,"[1, 0, 0]",150.0,2.0,3.0,2.0,"Trường học,Bệnh viện,Giao thông công cộng,Gần chùa,Khu an ninh ,","Ban công / Sân thượng,Sân vườn ,",25333333.3333
20,Huyện Bình Chánh,Xã Phong Phú,"[10.7105, 106.64294]",Nhà phố,,120.0,3.0,4.0,4.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,","Điều hòa,Hồ bơi,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi,Sân vườn,Phòng tập gym ,",45833333.3333
21,Quận Gò Vấp,Phường 12,"[10.80126, 106.65071]",Nhà phố,"[1, 0, 0]",56.0,3.0,,,,,62500000.0
22,Huyện Bình Chánh,Xã Phạn Văn Hai,"[10.81917, 106.53676]",Nhà phố,"[1, 0, 0]",69.0,1.0,2.0,2.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Công viên ,","Internet cáp quang ,",6521739.13043
